work_year;job_title;job_category;salary_currency;salary;employee_residence;experience_level;company_location;company_size
2023;Data DevOps Engineer;Data Engineering;EUR;88000;Germany;Mid-level;Germany;L
2023;Data Architect;Data Architecture and Modeling;USD;186000;United States;Senior;United States;M
2023;Data Architect;Data Architecture and Modeling;USD;81800;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;212000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;93300;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;130000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;100000;United States;Senior;United States;M
2023;Machine Learning Researcher;Machine Learning and AI;USD;224400;United States;Mid-level;United States;M
2023;Machine Learning Researcher;Machine Learning and AI;USD;138700;United States;Mid-level;United States;M
2023;Data Engineer;Data Engineering;USD;210000;United States;Executive;United States;M
2023;Data Engineer;Data Engineering;USD;168000;United States;Executive;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;224400;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;138700;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;GBP;35000;United Kingdom;Mid-level;United Kingdom;M
2023;Data Scientist;Data Science and Research;GBP;30000;United Kingdom;Mid-level;United Kingdom;M
2023;Data Analyst;Data Analysis;USD;95000;United States;Entry-level;United States;M
2023;Data Analyst;Data Analysis;USD;75000;United States;Entry-level;United States;M
2023;Data Scientist;Data Science and Research;USD;300000;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;234000;United States;Senior;United States;M
2023;Analytics Engineer;Leadership and Management;USD;140000;United States;Mid-level;United States;M
2023;Analytics Engineer;Leadership and Management;USD;120000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;204500;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;142200;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;155000;United States;Mid-level;United States;M
2023;Data Analyst;Data Analysis;USD;110000;United States;Mid-level;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;266500;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;152000;United States;Senior;United States;M
2023;Applied Scientist;Data Science and Research;USD;222200;United States;Mid-level;United States;L
2023;Applied Scientist;Data Science and Research;USD;136000;United States;Mid-level;United States;L
2023;Machine Learning Engineer;Machine Learning and AI;USD;273400;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;182200;United States;Senior;United States;M
2023;BI Developer;BI and Visualization;USD;167500;United States;Senior;United States;M
2023;BI Developer;BI and Visualization;USD;106500;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;185900;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;129300;United States;Senior;United States;M
2023;Business Intelligence Engineer;BI and Visualization;USD;185000;United States;Mid-level;United States;L
2023;Business Intelligence Engineer;BI and Visualization;USD;79600;United States;Mid-level;United States;L
2023;Data Engineer;Data Engineering;USD;122000;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;94500;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;247300;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;139700;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;176000;United States;Senior;United States;M
2023;Data Analyst;Data Analysis;USD;100000;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;204500;United States;Senior;United States;M
2023;Machine Learning Engineer;Machine Learning and AI;USD;142200;United States;Senior;United States;M
2023;Research Scientist;Data Science and Research;USD;247600;United States;Senior;United States;L
2023;Research Scientist;Data Science and Research;USD;127300;United States;Senior;United States;L
2023;Data Scientist;Data Science and Research;USD;223400;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;186200;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;167500;United States;Senior;United States;M
2023;Data Engineer;Data Engineering;USD;106500;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;185900;United States;Senior;United States;M
2023;Data Scientist;Data Science and Research;USD;129300;United States;Senior;United States;M
2023;Research Analyst;Data Science and Research;USD;72000;United States;Entry-level;United States;M
2023;Research Analyst;Data Science and Research;USD;64000;United States;Entry-level;United States;M
2023;Analytics Engineer;Leadership and Management;USD;179820;United States;Senior;United States;M
